scouts,rescue,total_robots,seed,rescued_victims,detected_victims,explored_fraction,collisions,repeated_visits,mean_localization_error,completion_time,mission_completed
0,1,1,0,7,7,0.6280519480519481,0,3,21.705088074292128,50.0,False
0,1,1,0,7,7,0.6280519480519481,0,3,21.705088074292128,50.0,False
0,1,1,1,7,7,0.6451948051948052,0,0,4.4118389402243645,50.0,False
0,1,1,2,7,8,0.7496103896103896,0,2,46.099021069972714,50.0,False
0,1,1,3,8,8,0.7418181818181818,0,4,11.027660498610045,50.0,False
0,1,1,4,6,6,0.7506493506493507,0,2,19.606265298857863,50.0,False
1,1,2,0,13,13,0.852987012987013,0,7,15.60959931435551,50.0,False
1,1,2,1,11,13,0.8290909090909091,0,6,11.554322713692745,50.0,False
1,1,2,2,11,11,0.8535064935064935,0,4,33.986004125225946,50.0,False
1,1,2,3,12,14,0.8431168831168832,0,2,11.802857685918731,50.0,False
1,1,2,4,8,11,0.8212987012987013,0,3,39.23907060178221,50.0,False
2,1,3,0,13,15,0.8831168831168831,0,6,23.58139435896962,50.0,False
2,1,3,1,13,15,0.8716883116883117,0,3,9.907653015794702,50.0,False
2,1,3,2,13,15,0.88,0,3,24.6577778155369,50.0,False
2,1,3,3,13,14,0.8633766233766234,0,2,17.093201348324026,50.0,False
2,1,3,4,9,14,0.8914285714285715,0,1,30.03123520237761,50.0,False
0,2,2,0,11,11,0.6805194805194805,0,8,14.641759622485703,50.0,False
0,2,2,1,12,12,0.8212987012987013,0,2,28.336750010364,50.0,False
0,2,2,2,8,8,0.7605194805194805,0,3,35.29879654394807,50.0,False
0,2,2,3,13,13,0.8597402597402597,0,5,16.28082832477325,50.0,False
0,2,2,4,10,10,0.8062337662337662,0,1,26.082707732058804,50.0,False
1,2,3,0,12,12,0.8602597402597403,2,8,23.263315239841816,50.0,False
1,2,3,1,10,10,0.841038961038961,0,3,17.05916448866463,50.0,False
1,2,3,2,13,14,0.8597402597402597,0,6,20.754935964814923,50.0,False
1,2,3,3,13,14,0.8597402597402597,1,4,15.541570818229074,50.0,False
1,2,3,4,15,15,0.8789610389610389,0,3,24.50631951014059,38.0,True
2,2,4,0,12,13,0.8722077922077922,0,7,21.37040161052609,50.0,False
2,2,4,1,14,15,0.8727272727272727,0,7,12.791135566913926,50.0,False
2,2,4,2,14,15,0.8789610389610389,0,5,43.35354849239982,50.0,False
2,2,4,3,15,15,0.8841558441558441,0,5,18.315962740125133,39.85,True
2,2,4,4,14,15,0.8976623376623377,0,7,37.71441005285593,50.0,False
0,1,1,0,12,12,0.8545454545454545,0,3,25.91842992581134,83.33333333333333,False
0,1,1,1,12,12,0.7922077922077922,0,0,4.089579837646891,83.33333333333333,False
0,1,1,2,10,10,0.7797402597402597,0,2,39.750991350287045,83.33333333333333,False
0,1,1,3,11,11,0.8072727272727273,0,4,11.5921321966366,83.33333333333333,False
0,1,1,4,8,8,0.7896103896103897,0,2,20.607469984652617,83.33333333333333,False
1,1,2,0,15,15,0.8732467532467533,0,7,16.328356550928437,72.53333333333333,True
1,1,2,1,14,15,0.8815584415584415,0,6,12.544479462433246,83.33333333333333,False
1,1,2,2,14,15,0.8680519480519481,0,4,34.24696365050032,83.33333333333333,False
1,1,2,3,15,15,0.8727272727272727,0,2,15.098031372063744,80.58333333333333,True
1,1,2,4,14,15,0.8815584415584415,0,3,39.44043071349616,83.33333333333333,False
2,1,3,0,15,15,0.8872727272727273,0,6,24.946230362073546,73.75,True
2,1,3,1,15,15,0.8768831168831169,0,3,10.34298208161723,74.4,True
2,1,3,2,15,15,0.8836363636363637,0,3,23.93565673329558,58.85,True
2,1,3,3,15,15,0.8711688311688311,0,2,16.32477133734399,71.16666666666667,True
2,1,3,4,15,15,0.8966233766233767,0,1,27.239576494678914,70.1,True
3,1,4,0,15,15,0.8846753246753247,0,3,22.6922575771956,60.9,True
3,1,4,1,15,15,0.8690909090909091,0,5,8.188802097582448,59.8,True
3,1,4,2,14,15,0.9038961038961039,0,1,45.02114313628441,83.33333333333333,False
3,1,4,3,8,15,0.8825974025974026,1293,5,23.054213557335117,83.33333333333333,False
3,1,4,4,15,15,0.8940259740259741,0,3,29.325937785486172,55.93333333333333,True
4,1,5,0,15,15,0.9023376623376623,0,3,32.749053520765855,61.9,True
4,1,5,1,15,15,0.8857142857142857,0,4,9.292808819576237,56.016666666666666,True
4,1,5,2,14,15,0.9127272727272727,8,2,51.38556913690839,83.33333333333333,False
4,1,5,3,15,15,0.8810389610389611,0,5,15.110268491109254,62.05,True
4,1,5,4,15,15,0.8919480519480519,0,3,24.14411319009383,63.199999999999996,True
0,2,2,0,15,15,0.8867532467532467,0,8,17.838995392722566,82.38333333333333,True
0,2,2,1,15,15,0.8784415584415585,0,2,28.94088993234312,81.13333333333333,True
