scouts,rescue,seed,step,rescued_victims,detected_victims,explored_fraction,collisions
0,1,0,500,3,5,0.2716883116883117,0
0,1,0,1000,4,6,0.3942857142857143,0
0,1,0,1500,6,6,0.4051948051948052,0
0,1,0,2000,6,7,0.47844155844155845,0
0,1,0,2500,7,7,0.6171428571428571,0
0,1,0,500,3,5,0.2716883116883117,0
0,1,0,1000,4,6,0.3942857142857143,0
0,1,0,1500,6,6,0.4051948051948052,0
0,1,0,2000,6,7,0.47844155844155845,0
0,1,0,2500,7,7,0.6171428571428571,0
0,1,1,500,1,1,0.2831168831168831,0
0,1,1,1000,2,2,0.49558441558441557,0
0,1,1,1500,4,5,0.5761038961038961,0
0,1,1,2000,6,6,0.6285714285714286,0
0,1,1,2500,7,7,0.6431168831168831,0
0,1,2,500,3,3,0.2976623376623377,0
0,1,2,1000,4,4,0.5054545454545455,0
0,1,2,1500,4,4,0.5283116883116883,0
0,1,2,2000,4,5,0.627012987012987,0
0,1,2,2500,5,5,0.6924675324675325,0
0,1,3,500,2,4,0.3194805194805195,0
0,1,3,1000,4,4,0.3807792207792208,0
0,1,3,1500,5,5,0.5496103896103897,0
0,1,3,2000,5,5,0.5620779220779221,0
0,1,3,2500,5,5,0.6031168831168832,0
0,1,4,500,0,1,0.18961038961038962,0
0,1,4,1000,3,3,0.42077922077922075,0
0,1,4,1500,4,4,0.6228571428571429,0
0,1,4,2000,4,4,0.6353246753246753,0
0,1,4,2500,4,5,0.7064935064935065,0
1,1,0,500,4,7,0.32935064935064934,0
1,1,0,1000,7,8,0.3864935064935065,0
1,1,0,1500,10,10,0.6670129870129871,0
1,1,0,2000,11,12,0.8207792207792208,0
1,1,0,2500,12,13,0.8519480519480519,0
1,1,1,500,4,6,0.5444155844155845,0
1,1,1,1000,7,7,0.68,0
1,1,1,1500,9,9,0.7849350649350649,0
1,1,1,2000,9,9,0.7890909090909091,0
1,1,1,2500,10,12,0.7958441558441558,0
1,1,2,500,3,7,0.5111688311688312,0
1,1,2,1000,5,8,0.5376623376623376,0
1,1,2,1500,8,9,0.694025974025974,0
1,1,2,2000,9,11,0.8332467532467532,0
1,1,2,2500,10,11,0.8342857142857143,0
1,1,3,500,2,8,0.44883116883116886,0
1,1,3,1000,4,9,0.52,0
1,1,3,1500,7,12,0.7324675324675325,0
1,1,3,2000,10,13,0.815064935064935,0
1,1,3,2500,11,13,0.8296103896103896,0
1,1,4,500,1,2,0.29194805194805196,0
1,1,4,1000,4,6,0.6088311688311688,0
1,1,4,1500,7,7,0.6935064935064935,0
1,1,4,2000,7,8,0.7314285714285714,0
1,1,4,2500,8,11,0.798961038961039,0
2,1,0,500,3,6,0.3251948051948052,0
2,1,0,1000,6,9,0.6342857142857142,0
2,1,0,1500,9,11,0.7916883116883117,0
2,1,0,2000,11,12,0.8472727272727273,0
2,1,0,2500,11,14,0.8774025974025974,0
2,1,1,500,4,8,0.627012987012987,0
2,1,1,1000,7,10,0.7345454545454545,0
2,1,1,1500,8,10,0.798961038961039,0
2,1,1,2000,10,12,0.8332467532467532,0
2,1,1,2500,11,14,0.8706493506493507,0
2,1,2,500,3,9,0.5948051948051948,0
2,1,2,1000,6,12,0.7298701298701299,0
2,1,2,1500,11,13,0.8062337662337662,0
2,1,2,2000,11,13,0.8275324675324676,0
2,1,2,2500,13,14,0.867012987012987,0
2,1,3,500,3,8,0.4535064935064935,0
2,1,3,1000,6,9,0.4727272727272727,0
2,1,3,1500,8,12,0.6779220779220779,0
2,1,3,2000,11,13,0.8067532467532468,0
2,1,3,2500,12,13,0.8431168831168832,0
2,1,4,500,2,5,0.5703896103896103,0
2,1,4,1000,3,7,0.6779220779220779,0
2,1,4,1500,7,9,0.7594805194805195,0
2,1,4,2000,8,11,0.8311688311688312,0
2,1,4,2500,9,13,0.8680519480519481,0
0,2,0,500,6,6,0.3444155844155844,0
0,2,0,1000,9,9,0.5750649350649351,0
0,2,0,1500,9,9,0.6207792207792208,0
0,2,0,2000,10,10,0.6587012987012987,0
