step,time_s,rescued,detected,explored_pct,slam_error_px,collisions,repeated_visits,blockage_active
60,1.0,0,0,11.95,2.58,60,0,0
120,2.0,0,0,12.21,1.37,120,0,0
180,3.0,0,0,12.42,1.74,180,0,0
240,4.0,0,0,13.3,3.06,240,0,0
300,5.0,0,1,16.42,5.57,300,0,0
360,6.0,0,1,18.49,5.14,360,0,0
420,7.0,0,1,20.31,5.68,420,0,0
480,8.0,0,2,22.34,7.09,480,0,0
540,9.0,0,2,24.73,7.91,540,0,0
600,10.0,0,2,26.49,8.38,600,0,0
660,11.0,0,2,30.03,10.27,660,0,0
720,12.0,0,2,32.1,12.5,720,0,0
780,13.0,0,3,36.78,14.54,780,0,0
840,14.0,0,3,38.08,16.31,840,0,0
900,15.0,0,3,39.27,14.98,900,0,0
960,16.0,0,3,40.52,16.13,960,0,0
1020,17.0,0,3,42.23,18.76,1020,0,0
1080,18.0,0,3,44.68,20.03,1080,0,0
1140,19.0,0,4,45.56,18.46,1140,0,0
1200,20.0,0,4,46.23,18.51,1200,0,0
1260,21.0,0,4,46.65,16.74,1260,0,0
1320,22.0,0,4,47.17,14.99,1320,0,0
1380,23.0,0,4,48.0,15.49,1380,0,0
1440,24.0,0,4,48.1,13.99,1440,0,0
1500,25.0,0,4,48.16,15.25,1500,0,0
1560,26.0,0,4,48.31,13.26,1560,0,0
1620,27.0,0,4,48.31,13.17,1620,0,0
1680,28.0,0,4,48.31,13.86,1680,0,0
1740,29.0,0,4,48.31,12.95,1740,0,0
1800,30.0,0,4,48.31,12.51,1800,0,0
1860,31.0,0,4,48.31,11.84,1860,0,0
1920,32.0,0,4,48.31,12.9,1920,0,0
1980,33.0,0,4,48.31,13.51,1980,0,0
2040,34.0,0,4,48.31,13.05,2040,0,0
2100,35.0,0,4,48.31,14.74,2100,0,0
2160,36.0,0,4,48.31,13.26,2160,0,0
2220,37.0,0,4,48.31,13.42,2220,0,0
2280,38.0,0,4,48.31,15.74,2280,0,0
2340,39.0,0,4,48.31,14.61,2340,0,0
2400,40.0,0,4,48.31,15.1,2400,0,0
2460,41.0,0,4,48.31,15.04,2460,0,0
2520,42.0,0,4,48.31,14.63,2520,0,0
2580,43.0,0,4,48.31,14.06,2580,0,0
2640,44.0,0,4,48.31,14.7,2640,0,0
2700,45.0,0,4,48.31,15.21,2700,0,0
2760,46.0,0,4,48.31,14.79,2760,0,0
2820,47.0,0,4,48.31,13.31,2820,0,0
2880,48.0,0,4,48.31,12.84,2880,0,0
2940,49.0,0,4,48.31,14.07,2940,0,0
3000,50.0,0,4,48.31,13.9,3000,0,0
3060,51.0,0,4,48.31,12.63,3060,0,0
3120,52.0,0,4,48.31,15.06,3120,0,0
3180,53.0,0,4,48.31,14.63,3180,0,0
3240,54.0,0,4,48.31,13.67,3240,0,0
3300,55.0,0,4,48.31,13.96,3300,0,0
3360,56.0,0,4,48.31,15.69,3360,0,0
3420,57.0,0,4,48.31,14.74,3420,0,0
3480,58.0,0,4,48.31,14.25,3480,0,0
3540,59.0,0,4,48.31,14.93,3540,0,0
3600,60.0,0,4,48.31,15.11,3600,0,0
3660,61.0,0,4,48.31,14.76,3660,0,0
3720,62.0,0,4,48.31,14.51,3720,0,0
3780,63.0,0,4,48.31,14.44,3780,0,0
3840,64.0,0,4,48.31,13.59,3840,0,0
3900,65.0,0,4,48.31,14.61,3900,0,0
3960,66.0,0,4,48.31,13.82,3960,0,0
4020,67.0,0,4,48.31,15.72,4020,0,0
4080,68.0,0,4,48.31,15.16,4080,0,0
4140,69.0,0,4,48.31,14.49,4140,0,0
4200,70.0,0,4,48.31,14.0,4200,0,0
4260,71.0,0,4,48.31,13.54,4260,0,0
4320,72.0,0,4,48.31,12.75,4320,0,0
4380,73.0,0,4,48.31,13.77,4380,0,0
4440,74.0,0,4,48.31,14.25,4440,0,0
4500,75.0,0,4,48.31,15.56,4500,0,0
4560,76.0,0,4,48.31,14.73,4560,0,0
4620,77.0,0,4,48.31,14.03,4620,0,0
4680,78.0,0,4,48.31,13.52,4680,0,0
4740,79.0,0,4,48.31,13.71,4740,0,0
4800,80.0,0,4,48.31,14.03,4800,0,0
4860,81.0,0,4,48.31,14.47,4860,0,0
4920,82.0,0,4,48.31,12.98,4920,0,0
4980,83.0,0,4,48.31,13.05,4980,0,0
5040,84.0,0,4,48.31,14.83,5040,0,0
5100,85.0,0,4,48.31,14.24,5100,0,0
5160,86.0,0,4,48.31,13.53,5160,0,0
5220,87.0,0,4,48.31,14.72,5220,0,0
5280,88.0,0,4,48.31,15.5,5280,0,0
5340,89.0,0,4,48.31,13.87,5340,0,0
5400,90.0,0,4,48.31,14.71,5400,0,0
5460,91.0,0,4,48.31,13.77,5460,0,0
5520,92.0,0,4,48.31,14.63,5520,0,0
5580,93.0,0,4,48.31,13.43,5580,0,0
5640,94.0,0,4,48.31,12.06,5640,0,0
5700,95.0,0,4,48.31,12.62,5700,0,0
5760,96.0,0,4,48.31,13.94,5760,0,0
5820,97.0,0,4,48.31,13.58,5820,0,0
5880,98.0,0,4,48.31,14.38,5880,0,0
5940,99.0,0,4,48.31,12.63,5940,0,0
6000,100.0,0,4,48.31,14.0,6000,0,0
6060,101.0,0,4,48.31,14.77,6060,0,0
6120,102.0,0,4,48.31,13.19,6120,0,0
6180,103.0,0,4,48.31,12.97,6180,0,0
6240,104.0,0,4,48.31,12.47,6240,0,0
6300,105.0,0,4,48.31,13.36,6300,0,0
6360,106.0,0,4,48.31,13.0,6360,0,0
6420,107.0,0,4,48.31,13.17,6420,0,0
6480,108.0,0,4,48.31,13.17,6480,0,0
6540,109.0,0,4,48.31,14.13,6540,0,0
6600,110.0,0,4,48.31,12.88,6600,0,0
6660,111.0,0,4,48.31,13.28,6660,0,0
6720,112.0,0,4,48.31,13.97,6720,0,0
6780,113.0,0,4,48.31,13.78,6780,0,0
6840,114.0,0,4,48.31,14.5,6840,0,0
6900,115.0,0,4,48.31,14.37,6900,0,0
6960,116.0,0,4,48.31,15.05,6960,0,0
7020,117.0,0,4,48.31,12.88,7020,0,0
7080,118.0,0,4,48.31,13.49,7080,0,0
7140,119.0,0,4,48.31,12.97,7140,0,0
7200,120.0,0,4,48.31,14.72,7200,0,0
7260,121.0,0,4,48.31,15.88,7260,0,0
7320,122.0,0,4,48.31,14.43,7320,0,0
7380,123.0,0,4,48.31,13.6,7380,0,0
7440,124.0,0,4,48.31,13.34,7440,0,0
7500,125.0,0,4,48.31,14.52,7500,0,0
7560,126.0,0,4,48.31,14.67,7560,0,0
7620,127.0,0,4,48.31,13.99,7620,0,0
7680,128.0,0,4,48.31,13.97,7680,0,0
7740,129.0,0,4,48.31,13.04,7740,0,0
7800,130.0,0,4,48.31,15.51,7800,0,0
7860,131.0,0,4,48.31,14.78,7860,0,0
