step,time_s,rescued,detected,explored_pct,slam_error_px,collisions,repeated_visits,blockage_active
60,1.0,0,2,21.09,3.23,0,0,1
120,2.0,0,2,26.44,1.99,0,0,1
180,3.0,0,2,34.29,9.39,0,0,1
240,4.0,0,2,40.83,6.66,0,0,1
300,5.0,0,4,46.65,6.43,0,0,1
360,6.0,0,4,48.42,8.65,0,0,1
420,7.0,0,4,53.14,11.28,0,0,1
480,8.0,0,4,54.39,14.31,0,0,1
540,9.0,0,4,56.16,19.29,0,0,1
600,10.0,0,4,56.68,25.19,0,0,1
660,11.0,1,4,56.68,23.98,0,0,1
720,12.0,1,4,56.73,25.4,0,1,1
780,13.0,2,4,57.04,25.87,0,1,1
840,14.0,2,4,57.45,26.21,0,2,1
900,15.0,2,5,60.0,29.08,0,2,1
960,16.0,3,5,63.64,28.71,0,2,1
1020,17.0,3,5,67.9,28.9,0,3,1
1080,18.0,3,7,71.53,28.27,0,3,1
1140,19.0,3,8,72.99,28.19,0,3,1
1200,20.0,3,8,73.71,29.54,0,3,1
1260,21.0,3,8,73.97,31.7,0,3,1
1320,22.0,3,8,74.03,33.82,0,3,1
1380,23.0,3,8,74.18,33.11,0,3,1
1440,24.0,4,8,74.23,34.45,0,3,1
1500,25.0,5,8,74.55,33.74,0,3,1
1560,26.0,5,8,74.55,32.06,0,3,1
1620,27.0,5,8,74.6,31.44,0,3,1
1680,28.0,5,8,75.22,27.96,0,3,1
1740,29.0,5,8,76.1,25.73,0,3,1
1800,30.0,5,8,76.16,26.13,0,3,1
1860,31.0,5,8,76.16,24.98,0,3,1
1920,32.0,5,8,76.16,25.12,0,3,1
1980,33.0,5,8,76.16,23.72,0,3,1
2040,34.0,5,8,76.16,22.64,0,3,1
2100,35.0,5,8,76.21,24.9,0,3,1
2160,36.0,5,8,76.21,25.25,0,3,1
2220,37.0,5,8,76.21,26.79,0,3,1
2280,38.0,5,8,76.21,28.09,0,3,1
2340,39.0,5,8,76.21,28.16,0,3,1
2400,40.0,5,8,76.21,29.65,0,3,1
2460,41.0,5,8,76.21,27.18,0,3,1
2520,42.0,5,8,76.21,28.2,0,3,1
2580,43.0,5,8,76.31,28.43,0,3,1
2640,44.0,5,8,76.36,29.26,0,3,1
2700,45.0,5,8,76.36,23.96,0,3,1
2760,46.0,5,8,76.36,23.85,0,3,1
2820,47.0,5,9,76.36,19.63,0,3,1
2880,48.0,5,9,76.36,19.19,0,3,1
2940,49.0,5,9,76.47,16.7,0,3,1
3000,50.0,6,10,77.87,17.28,0,3,1
3060,51.0,6,10,79.38,13.93,0,3,1
3120,52.0,6,10,81.77,13.04,0,3,1
3180,53.0,6,11,83.69,11.37,0,3,1
3240,54.0,6,13,86.13,13.01,0,3,1
3300,55.0,6,13,86.34,11.98,0,3,1
3360,56.0,7,13,86.34,15.5,0,3,1
3420,57.0,7,13,86.34,15.58,0,3,1
3480,58.0,7,13,86.34,18.39,0,3,1
3540,59.0,8,13,86.39,20.54,0,3,1
3600,60.0,8,13,86.39,22.73,0,3,1
3660,61.0,9,13,86.39,22.16,0,3,1
3720,62.0,9,13,86.39,20.59,0,3,1
3780,63.0,9,13,86.39,23.03,0,3,1
3840,64.0,9,13,86.44,21.04,0,3,1
3900,65.0,9,13,86.44,22.59,0,3,1
3960,66.0,9,13,86.44,25.62,0,3,1
4020,67.0,9,13,86.44,26.28,0,3,1
4080,68.0,9,13,86.44,28.5,0,3,1
4140,69.0,9,14,86.49,31.82,0,3,1
4200,70.0,9,14,86.6,31.75,0,3,1
4260,71.0,9,14,86.65,31.26,0,3,1
4320,72.0,9,14,86.65,29.85,0,3,1
4380,73.0,9,14,86.65,27.48,0,3,1
4440,74.0,9,14,86.65,22.94,0,3,1
4500,75.0,9,14,86.65,19.89,0,3,1
4560,76.0,9,14,86.65,21.39,0,3,1
4620,77.0,9,14,86.65,17.55,0,3,1
4680,78.0,9,14,86.65,19.73,0,3,1
4740,79.0,10,14,86.65,20.46,0,3,1
4800,80.0,10,14,86.7,18.05,0,3,1
4860,81.0,10,15,86.7,16.19,0,3,1
4920,82.0,10,15,86.7,16.75,0,3,1
4980,83.0,11,15,86.75,17.76,0,3,1
5040,84.0,11,15,86.75,19.74,0,3,1
5100,85.0,11,15,86.75,21.26,0,3,1
5160,86.0,11,15,86.75,19.69,0,3,1
5220,87.0,11,15,86.81,20.6,0,3,1
5280,88.0,11,15,86.81,19.38,0,3,1
5340,89.0,12,15,86.81,18.92,0,3,1
5400,90.0,12,15,86.91,20.32,0,3,1
5460,91.0,12,15,86.91,21.98,0,3,1
5520,92.0,12,15,86.91,22.62,0,3,1
5580,93.0,13,15,86.91,23.79,0,3,1
5640,94.0,14,15,86.91,24.82,0,3,1
5692,94.87,15,15,87.43,25.64,0,3,1
